Vdiff_input_V,Vout_Ideal_V,Vout_TL071_V,Vout_LF357_V,Vout_OPA828_V,Vout_ADA4817_V
-0.0002814814814814815,-5.570496977037037,-5.570496994074074,-5.570496994074074,-5.570496994074074,-5.570496994074074
-0.0002806806806806807,-5.570496848908909,-5.570496867547548,-5.570496867547548,-5.570496867547548,-5.570496867547548
-0.0002798798798798799,-5.570496721021021,-5.570496740780781,-5.570496740780781,-5.570496740780781,-5.570496740780781
-0.0002790790790790791,-5.570496594494495,-5.5704966126526525,-5.5704966126526525,-5.5704966126526525,-5.5704966126526525
-0.0002782782782782783,-5.570496467967968,-5.570496484524525,-5.570496484524525,-5.570496484524525,-5.570496484524525
-0.0002774774774774775,-5.570496341441442,-5.570496356396396,-5.570496356396396,-5.570496356396396,-5.570496356396396
-0.0002766766766766767,-5.570496214914915,-5.570496228268268,-5.570496228268268,-5.570496228268268,-5.570496228268268
-0.0002758758758758759,-5.5704960883883885,-5.57049610014014,-5.57049610014014,-5.57049610014014,-5.57049610014014
-0.0002750750750750751,-5.5704959618618615,-5.5704959720120115,-5.5704959720120115,-5.5704959720120115,-5.5704959720120115
-0.0002742742742742743,-5.570495835335335,-5.570495845335335,-5.570495845335335,-5.570495845335335,-5.570495845335335
-0.0002734734734734735,-5.570495708808808,-5.570495718808808,-5.570495718808808,-5.570495718808808,-5.570495718808808
-0.0002726726726726727,-5.570495582282282,-5.570495592282282,-5.570495592282282,-5.570495592282282,-5.570495592282282
-0.0002718718718718719,-5.570495455755756,-5.570495465755756,-5.570495465755756,-5.570495465755756,-5.570495465755756
-0.00027107107107107113,-5.570495329229229,-5.570495339229229,-5.570495339229229,-5.570495339229229,-5.570495339229229
-0.00027027027027027033,-5.570495202702703,-5.570495212702703,-5.570495212702703,-5.570495212702703,-5.570495212702703
-0.00026946946946946953,-5.570495075115115,-5.570495085115115,-5.570495085115115,-5.570495085115115,-5.570495085115115
-0.0002686686686686687,-5.570494946986987,-5.570494956986987,-5.570494956986987,-5.570494956986987,-5.570494956986987
-0.0002678678678678679,-5.570494818858859,-5.570494828858859,-5.570494828858859,-5.570494828858859,-5.570494828858859
-0.0002670670670670671,-5.5704946907307304,-5.57049470073073,-5.57049470073073,-5.57049470073073,-5.57049470073073
-0.0002662662662662663,-5.570494562602603,-5.570494572602603,-5.570494572602603,-5.570494572602603,-5.570494572602603
