Vin_V,Vout_V,Local_Gain
0.001365,19.0953888,0.0
0.00137,19.0953888,0.0
0.001375,19.0953888,0.0
0.00138,19.0953888,0.0
0.001385,19.0953888,0.0
0.00139,19.0953888,0.0
0.001395,19.0953888,0.0
0.0014,19.0953888,0.0
0.001405,19.0953888,0.0
0.00141,19.0953888,0.0
0.001415,19.0953888,0.0
0.00142,19.0953888,0.0
0.001425,19.0953888,0.0
0.00143,19.0953888,0.0
0.001435,19.0953888,0.0
0.00144,19.0953888,0.0
0.001445,19.0953888,0.0
0.00145,19.0953888,0.0
0.001455,19.0953888,0.0
0.00146,19.0953888,0.0
0.001465,19.0953888,0.0
0.00147,19.0953888,0.0
0.001475,19.0953888,0.0
0.00148,19.0953888,0.0
0.001485,19.0953888,0.0
0.00149,19.0953888,0.0
0.001495,19.0953888,0.0
0.0015,19.0953888,0.0
0.001505,19.0953888,0.0
0.00151,19.0953888,0.0
0.001515,19.0953888,0.0
0.00152,19.0953888,0.0
0.001525,19.0953888,0.0
0.00153,19.0953888,0.0
0.001535,19.0953888,0.0
0.00154,19.0953888,0.0
0.001545,19.0953888,0.0
0.00155,19.0953888,0.0
0.001555,19.0953888,0.0
0.00156,19.0953888,0.0
0.001565,19.0953888,0.0
0.00157,19.0953888,0.0
0.001575,19.0953888,0.0
0.00158,19.0953888,0.0
0.001585,19.0953888,0.0
0.00159,19.0953888,0.0
0.001595,19.0953888,0.0
0.0016,19.0953888,0.0
0.001605,19.0953888,0.0
0.00161,19.0953888,0.0
0.001615,19.0953888,0.0
0.00162,19.0953888,0.0
0.001625,19.0953888,0.0
0.00163,19.0953888,-0.009999999776482582
0.001635,19.0953887,-0.009999999776482582
0.00164,19.0953887,0.0
0.001645,19.0953887,0.0
0.00165,19.0953887,0.0
0.001655,19.0953887,0.0
0.00166,19.0953887,0.0
0.001665,19.0953887,0.0
0.00167,19.0953887,0.0
0.001675,19.0953887,0.0
0.00168,19.0953887,0.0
0.001685,19.0953887,0.0
0.00169,19.0953887,0.0
0.001695,19.0953887,0.0
0.0017,19.0953887,0.0
0.001705,19.0953887,0.0
0.00171,19.0953887,0.0
0.001715,19.0953887,0.0
0.00172,19.0953887,0.0
0.001725,19.0953887,0.0
0.00173,19.0953887,0.0
0.001735,19.0953887,0.0
0.00174,19.0953887,0.0
0.001745,19.0953887,0.0
0.00175,19.0953887,0.0
0.001755,19.0953887,0.0
0.00176,19.0953887,0.0
0.001765,19.0953887,0.0
0.00177,19.0953887,0.0
0.001775,19.0953887,0.0
0.00178,19.0953887,0.0
