Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
7.7405707e-07,311.0079900909663,-9.21723114e-05,-10.798465,1.9976027843535356
7.74703916e-07,311.6548360909662,-9.34769132e-05,-10.7764665,2.019601284353536
7.75163232e-07,312.1141520909663,-9.43334312e-05,-10.7601507,2.0359170843535352
7.75555206e-07,312.50612609096623,-9.50180285e-05,-10.745763,2.0503047843535356
7.76047671e-07,312.9985910909662,-9.58171443e-05,-10.7270656,2.0690021843535362
7.76383774e-07,313.33469409096625,-9.63232637e-05,-10.7138787,2.0821890843535353
7.76715646e-07,313.6665660909663,-9.67915611e-05,-10.7002864,2.0957813843535362
7.77003799e-07,313.9547190909663,-9.71727016e-05,-10.6878617,2.1082060843535366
7.77326164e-07,314.27708409096624,-9.75709212e-05,-10.6741153,2.1219524843535353
7.77505142e-07,314.4560620909662,-9.77791253e-05,-10.6671502,2.1289175843535357
7.77626831e-07,314.5777510909663,-9.79154168e-05,-10.6629536,2.133114184353536
7.77730974e-07,314.68189409096624,-9.80286657e-05,-10.6599191,2.136148684353536
7.77840629e-07,314.7915490909662,-9.81445226e-05,-10.6574738,2.1385939843535358
7.77899744e-07,314.8506640909663,-9.82055394e-05,-10.6564989,2.139568884353535
7.77953326e-07,314.90424609096624,-9.82599717e-05,-10.6558091,2.140258684353535
7.78003311e-07,314.9542310909663,-9.83099999e-05,-10.6552867,2.140781084353536
7.78054126e-07,315.0050460909663,-9.83601177e-05,-10.654796,2.1412717843535365
7.7810387e-07,315.0547900909662,-9.8408455e-05,-10.6542517,2.141816084353536
7.78159306e-07,315.11022609096625,-9.84614775e-05,-10.6534182,2.142649584353535
7.78217406e-07,315.1683260909662,-9.85160913e-05,-10.6521137,2.1439540843535365
7.78281921e-07,315.23284109096625,-9.85755866e-05,-10.6499707,2.146097084353535
7.78348659e-07,315.2995790909663,-9.86358612e-05,-10.6468963,2.149171484353536
7.78431473e-07,315.3823930909662,-9.87088544e-05,-10.6420012,2.1540665843535365
7.7852882e-07,315.47974009096623,-9.87921083e-05,-10.6353765,2.160691284353536
7.78625708e-07,315.57662809096627,-9.88722297e-05,-10.6288088,2.167258984353536
7.78706426e-07,315.6573460909662,-9.89368924e-05,-10.6239816,2.1720861843535353
7.78789023e-07,315.7399430909662,-9.90010948e-05,-10.6200315,2.176036284353536
7.78888402e-07,315.8393220909663,-9.90757035e-05,-10.6165678,2.1794999843535354
7.7899409e-07,315.94501009096626,-9.91518859e-05,-10.6137403,2.182327484353536
7.79094135e-07,316.04505509096623,-9.92209956e-05,-10.6109981,2.185069684353536
