Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
1.69021247e-07,53.258977022741576,-8.43358627e-05,5.41443132,6.771228253156742
1.69744761e-07,53.982491022741556,-7.48915254e-05,5.25611158,6.612908513156741
1.70468276e-07,54.706006022741576,-6.36031104e-05,5.09887382,6.455670753156741
1.7119179e-07,55.429520022741556,-5.07485759e-05,4.94271153,6.299508463156742
1.71915304e-07,56.153034022741565,-3.66444432e-05,4.78761825,6.144415183156742
1.72638818e-07,56.87654802274155,-2.16380028e-05,4.63358753,5.990384463156741
1.73362332e-07,57.60006202274156,-6.09876296e-06,4.48061298,5.837409913156741
1.74085847e-07,58.32357702274155,9.5906486e-06,4.32868822,5.685485153156741
1.74809361e-07,59.04709102274156,2.50439066e-05,4.17780692,5.534603853156741
1.75532875e-07,59.77060502274157,3.98805006e-05,4.02796279,5.3847597231567415
1.76256389e-07,60.49411902274156,5.37351044e-05,3.87914956,5.235946493156741
1.76979903e-07,61.217633022741566,6.62665717e-05,3.73136101,5.088157943156741
1.77703418e-07,61.94114802274156,7.71663363e-05,3.58459093,4.941387863156741
1.78426932e-07,62.66466202274157,8.61660098e-05,3.43883317,4.795630103156741
1.79150446e-07,63.388176022741554,9.30439905e-05,3.29408161,4.650878543156741
1.7987396e-07,64.11169002274157,9.76309196e-05,3.15033016,4.5071270931567415
1.80597474e-07,64.83520402274158,9.98138516e-05,3.00757277,4.364369703156741
1.81320989e-07,65.55871902274156,9.95390357e-05,2.86580338,4.222600313156741
1.82044503e-07,66.28223302274158,9.68132387e-05,2.72500845,4.081805383156741
1.82768017e-07,67.00574702274156,9.17035787e-05,2.58518086,3.941977793156741
1.83491531e-07,67.72926102274157,8.43358725e-05,2.44632595,3.8031228831567407
1.84215045e-07,68.45277502274155,7.48915374e-05,2.30844334,3.6652402731567415
1.84917234e-07,69.15496402274155,6.39597185e-05,2.17554481,3.532341743156741
1.85640748e-07,69.87847802274156,5.11469914e-05,2.0395481,3.3963450331567415
1.86364262e-07,70.60199202274157,3.70748558e-05,1.90449774,3.2612946731567414
1.87087776e-07,71.32550602274156,2.20898143e-05,1.77038891,3.127185843156741
1.87811291e-07,72.04902102274157,6.56084831e-06,1.63721591,2.9940128431567414
1.88381017e-07,72.61874702274157,-5.80029824e-06,1.53300487,2.8898018031567414
1.88719546e-07,72.95727602274157,-1.31153624e-05,1.47135521,2.828152143156741
1.88915899e-07,73.15362902274157,-1.73282893e-05,1.43569015,2.7924870831567414
1.89079041e-07,73.31677102274158,-2.08050199e-05,1.40610913,2.7629060631567413
1.89227168e-07,73.46489802274156,-2.39392849e-05,1.37929109,2.736088023156741
1.89334088e-07,73.57181802274155,-2.61864337e-05,1.35995748,2.716754413156741
1.89414676e-07,73.65240602274156,-2.78709075e-05,1.34539849,2.7021954231567413
1.89486023e-07,73.72375302274158,-2.93551132e-05,1.33251853,2.689315463156741
1.89557953e-07,73.79568302274156,-3.08443349e-05,1.31954219,2.6763391231567413
1.89623306e-07,73.86103602274156,-3.21908526e-05,1.30776041,2.664557343156741
1.89731064e-07,73.96879402274155,-3.43968079e-05,1.2883501,2.645147033156741
1.89830604e-07,74.06833402274155,-3.64178213e-05,1.2704382,2.6272351331567414
1.89935485e-07,74.17321502274156,-3.85288695e-05,1.25158381,2.608380743156741
1.90057083e-07,74.29481302274156,-4.09513282e-05,1.22974817,2.586545103156741
1.90198934e-07,74.43666402274155,-4.37410601e-05,1.20430839,2.561105323156741
1.90341582e-07,74.57931202274155,-4.65046298e-05,1.17876097,2.5355579031567412
