Frequency_Hz,Gain_dB,Phase_deg
21379.6209,86.0163849,0.0017750394
21877.6162,86.016386,0.00181513128
22387.2114,86.0163872,0.00185607118
22908.6765,86.0163885,0.00189787433
23442.2882,86.0163898,0.00194055328
23988.3292,86.0163911,0.00198412315
24547.0892,86.0163926,0.00202859836
25118.8643,86.016394,0.00207399197
25703.9578,86.0163956,0.00212031857
26302.6799,86.0163972,0.00216759104
26915.348,86.0163989,0.00221582328
27542.287,86.0164006,0.00226502921
28183.8293,86.0164024,0.00231522232
28840.315,86.0164043,0.00236641405
29512.0923,86.0164063,0.00241861869
30199.5172,86.0164084,0.00247184829
30902.9543,86.0164105,0.00252611531
31622.7766,86.0164128,0.00258143059
32359.3657,86.0164151,0.00263780673
33113.1121,86.0164175,0.00269525422
33884.4156,86.0164201,0.00275378396
34673.685,86.0164227,0.00281340577
35481.3389,86.0164254,0.0028741303
36307.8055,86.0164283,0.00293596579
37153.5229,86.0164312,0.00299892139
38018.9396,86.0164343,0.00306300511
38904.5145,86.0164375,0.00312822407
39810.7171,86.0164408,0.00319458604
40738.0278,86.0164442,0.0032620966
41686.9383,86.0164478,0.00333076218
42657.9519,86.0164515,0.0034005865
43651.5832,86.0164553,0.00347157562
44668.3592,86.0164593,0.00354373121
45708.819,86.0164634,0.00361705833
46773.5141,86.0164677,0.00369155801
47863.0092,86.0164721,0.00376723206
48977.8819,86.0164767,0.0038440825
50118.7234,86.0164814,0.00392211008
51286.1384,86.0164863,0.00400131309
52480.746,86.0164914,0.00408169324
53703.1796,86.0164966,0.00416324942
54954.0874,86.016502,0.00424597784
56234.1325,86.0165075,0.00432988186
57543.9937,86.0165133,0.00441495614
58884.3655,86.0165192,0.00450120068
60255.9586,86.0165252,0.00458861355
61659.5002,86.0165315,0.0046771951
63095.7344,86.016538,0.00476694372
64565.4229,86.0165446,0.00485785897
66069.3448,86.0165514,0.00494994393
67608.2975,86.0165584,0.00504319627
69183.0971,86.0165655,0.00513762159
70794.5784,86.0165729,0.00523322162
72443.596,86.0165804,0.0053300068
74131.0241,86.0165882,0.00542798207
75857.7575,86.0165961,0.00552715777
77624.7117,86.0166042,0.0056275468
79432.8235,86.0166124,0.0057291642
81283.0516,86.0166209,0.00583203147
83176.3771,86.0166295,0.00593616196
